"","VALUE","Freq","BPS_CODE","ZONE","BPS_MODEL","BPS_NAME","GROUPVEG","FRI_REPLAC","FRI_MIXED","FRI_SURFAC","FRI_ALLFIR","PRC_REPLAC","PRC_MIXED","PRC_SURFAC","FRG_NEW","R","G","B","RED","GREEN","BLUE","ACRES","REL_PERCENT"
"86",389,46568,10930,28,"10930_13_15_16_23_24_28","Southern Colorado Plateau Sand Shrubland","Shrubland",220,NA,NA,220,100,NA,NA,"V-A",134,219,24,0.525490196,0.858823529,0.094117647,10356,0
"87",396,138,11460,24,"11460_15_16_23_24_25_28","Southern Rocky Mountain Montane-Subalpine Grassland","Grassland",20,NA,21,10,52,NA,48,"I-B",167,205,178,0.654901961,0.803921569,0.698039216,31,0
"88",399,18023,11261,24,"11261_16_23_24","Inter-Mountain Basins Montane Sagebrush Steppe-Mountain Big Sagebrush","Shrubland",49,NA,NA,49,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,4008,0
"89",400,3750,10820,16,"10820_12_15_16_17_23_24","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",815,NA,NA,815,100,NA,NA,"V-B",216,6,73,0.847058824,0.023529412,0.28627451,834,0
"90",403,6675,10640,15,"10640_15_16_17_23_24_27_28","Colorado Plateau Mixed Low Sagebrush Shrubland","Shrubland",239,119,NA,79,33,67,NA,"III-A",158,170,215,0.619607843,0.666666667,0.843137255,1484,0
"91",404,12408,10780,15,"10780_15","Colorado Plateau Blackbrush-Mormon-tea Shrubland","Shrubland",282,NA,NA,282,100,NA,NA,"V-A",52,155,207,0.203921569,0.607843137,0.811764706,2759,0
"92",488,103,10010,13,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,23,0
"93",492,4,10190,13,"10190_13_14","Great Basin Pinyon-Juniper Woodland","Conifer",474,337,780,157,33,47,20,"III-B",115,76,0,0.450980392,0.298039216,0,1,0
"94",501,30621,10820,13,"10820_4_13","Mojave Mid-Elevation Mixed Desert Scrub","Shrubland",399,NA,NA,399,100,NA,NA,"V-A",216,6,73,0.847058824,0.023529412,0.28627451,6810,0
"95",503,433,10870,13,"10870_4_6_12_13_14_15_17_24_25","Sonora-Mojave Creosotebush-White Bursage Desert Scrub","Shrubland",329,NA,NA,329,100,NA,NA,"V-A",52,154,184,0.203921569,0.603921569,0.721568627,96,0
"96",506,60,10930,13,"10930_13_15_16_23_24_28","Southern Colorado Plateau Sand Shrubland","Shrubland",220,NA,NA,220,100,NA,NA,"V-A",134,219,24,0.525490196,0.858823529,0.094117647,13,0
"97",521,8,11540,13,"11540_13","Inter-Mountain Basins Montane Riparian Systems","Riparian",68,NA,NA,68,100,NA,NA,"IV-A",154,156,117,0.603921569,0.611764706,0.458823529,2,0
"98",522,4,11550,13,"11550_13_14","North American Warm Desert Riparian Systems","Riparian",785,23,NA,23,3,97,NA,"I-C",123,160,117,0.482352941,0.62745098,0.458823529,1,0
"99",523,1322,11552,13,"11552_13_14_15","North American Warm Desert Riparian Systems-Stringers","Riparian",735,NA,NA,735,100,NA,NA,"V-B",84,160,117,0.329411765,0.62745098,0.458823529,294,0
"100",878,26,10010,22,"10010","Inter-Mountain Basins Sparsely Vegetated Systems","Sparse",NA,NA,NA,NA,NA,NA,NA,NA,255,255,190,1,1,0.745098039,6,0
"101",879,22615,10110,22,"10110_22","Rocky Mountain Aspen Forest and Woodland","Hardwood",163,NA,NA,163,100,NA,NA,"IV-B",255,255,115,1,1,0.450980392,5029,0
"102",881,26977,10490,22,"10490_16_22","Rocky Mountain Foothill Limber Pine-Juniper Woodland","Conifer",216,NA,NA,216,100,NA,NA,"V-A",102,205,171,0.4,0.803921569,0.670588235,6000,0
"103",883,2544,10510,22,"10510_15_16_17_22_23_24_25","Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland","Conifer",90,77,14,11,12,14,74,"I-B",190,210,255,0.745098039,0.823529412,1,566,0
"104",884,11230,10540,22,"10540_22","Southern Rocky Mountain Ponderosa Pine Woodland","Conifer",165,49,19,13,8,26,66,"I-B",168,56,0,0.658823529,0.219607843,0,2497,0
"105",885,3988,10550,22,"10550_21_22","Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland","Conifer",333,NA,NA,333,100,NA,NA,"V-A",211,255,190,0.82745098,1,0.745098039,887,0
"106",888,29044,10620,22,"10620_22_28","Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland","Shrubland",229,78,NA,58,25,75,NA,"III-A",191,19,230,0.749019608,0.074509804,0.901960784,6459,0
"107",889,1921,10660,22,"10660_22","Inter-Mountain Basins Mat Saltbush Shrubland","Shrubland",NA,NA,NA,NA,NA,NA,NA,NA,11,190,127,0.043137255,0.745098039,0.498039216,427,0
"108",890,13,10720,22,"10720_22_29","Wyoming Basins Dwarf Sagebrush Shrubland and Steppe","Shrubland",331,NA,NA,331,100,NA,NA,"V-A",132,140,200,0.517647059,0.549019608,0.784313725,3,0
"109",891,6347,10801,22,"10801_21_22_28","Inter-Mountain Basins Big Sagebrush Shrubland-Basin Big Sagebrush","Shrubland",72,NA,NA,72,100,NA,NA,"IV-A",255,190,232,1,0.745098039,0.909803922,1412,0
"110",893,4668,10810,22,"10810_22","Inter-Mountain Basins Mixed Salt Desert Scrub","Shrubland",450,NA,NA,450,100,NA,NA,"V-A",245,202,122,0.960784314,0.792156863,0.478431373,1038,0
"111",894,315,10861,22,"10861_22","Rocky Mountain Lower Montane-Foothill Shrubland-No True Mountain Mahogany","Shrubland",89,NA,NA,89,100,NA,NA,"IV-A",137,68,101,0.537254902,0.266666667,0.396078431,70,0
"112",895,2841,10862,22,"10862_22","Rocky Mountain Lower Montane-Foothill Shrubland-True Mountain Mahogany","Shrubland",106,NA,NA,106,100,NA,NA,"IV-B",137,25,135,0.537254902,0.098039216,0.529411765,632,0
"113",897,2289,11150,22,"11150_21_22","Inter-Mountain Basins Juniper Savanna","Conifer",355,212,123,64,18,30,52,"III-A",137,112,68,0.537254902,0.439215686,0.266666667,509,0
"114",898,29016,11260,22,"11260_22","Inter-Mountain Basins Montane Sagebrush Steppe","Shrubland",86,NA,NA,86,100,NA,NA,"IV-A",230,0,169,0.901960784,0,0.662745098,6453,0
